symbol,Total_Trades,Total_PnL_%,Avg_PnL_%,PnL_StdDev,Target_Hits,Avg_Entry_Price,Win_Rate_%
JIOFIN,5,3.35,0.67,1.573,1,311.89,20.0
TECHM,6,2.906,0.484,0.707,0,1663.567,0.0
HCLTECH,3,2.284,0.761,1.359,0,1713.667,0.0
ASIANPAINT,7,1.56,0.223,1.142,0,2422.286,0.0
HDFCBANK,5,1.43,0.286,0.685,0,1998.34,0.0
GRASIM,6,1.428,0.238,0.467,0,2767.383,0.0
HINDUNILVR,5,1.381,0.276,0.617,0,2432.06,0.0
BEL,7,1.326,0.189,0.785,0,413.564,0.0
INFY,4,0.937,0.234,1.086,0,1614.25,0.0
EICHERMOT,4,0.877,0.219,0.253,0,5581.1,0.0
ITC,5,0.836,0.167,0.237,0,424.6,0.0
KOTAKBANK,6,0.832,0.139,0.296,0,2187.567,0.0
AXISBANK,3,0.729,0.243,0.214,0,1228.867,0.0
BAJFINANCE,8,0.713,0.089,0.315,0,959.956,0.0
ICICIBANK,5,0.633,0.127,0.444,0,1471.56,0.0
CIPLA,3,0.615,0.205,0.355,0,1514.967,0.0
APOLLOHOSP,6,0.598,0.1,0.789,0,7298.433,0.0
BAJAJFINSV,6,0.492,0.082,0.201,0,2041.4,0.0
TITAN,3,0.408,0.136,0.235,0,3623.6,0.0
SBIN,5,0.248,0.05,1.042,0,822.22,0.0
TATACONSUM,4,0.112,0.028,0.613,0,1123.975,0.0
TCS,2,0.054,0.027,0.038,0,3524.1,0.0
UNITDSPR,4,0.0,0.0,0.0,0,1544.6,0.0
COALINDIA,2,0.0,0.0,0.0,0,393.5,0.0
SHRIRAMFIN,4,0.0,0.0,0.0,0,702.238,0.0
M&M,5,0.0,0.0,0.0,0,3210.78,0.0
LT,1,0.0,0.0,,0,3660.1,0.0
ADANIENT,6,-0.035,-0.006,1.135,0,2596.217,0.0
HEROMOTOCO,4,-0.061,-0.015,0.177,0,4422.0,0.0
INDUSINDBK,4,-0.123,-0.031,0.583,0,859.562,0.0
ULTRACEMCO,6,-0.13,-0.022,1.063,0,12111.767,0.0
ONGC,5,-0.162,-0.032,0.062,0,250.336,0.0
WIPRO,5,-0.206,-0.041,0.792,0,261.744,0.0
POWERGRID,5,-0.213,-0.043,0.553,0,299.18,0.0
NESTLEIND,6,-0.477,-0.079,0.364,0,2446.167,0.0
MARUTI,6,-0.568,-0.095,0.342,0,12718.433,0.0
ADANIPORTS,5,-0.578,-0.116,0.376,0,1443.84,0.0
NTPC,6,-0.581,-0.097,0.549,0,342.433,0.0
HDFCLIFE,5,-0.77,-0.154,0.412,0,801.14,0.0
DRREDDY,5,-0.861,-0.172,1.061,0,1327.38,0.0
TATAMOTORS,5,-1.045,-0.209,0.198,0,704.63,0.0
BHARTIARTL,6,-1.138,-0.19,0.741,0,1971.933,0.0
BAJAJ-AUTO,3,-1.269,-0.423,0.733,0,8567.933,0.0
SUNPHARMA,2,-1.366,-0.683,0.966,0,1714.8,0.0
JSWSTEEL,4,-1.452,-0.363,0.726,0,1039.225,0.0
IOC,6,-1.721,-0.287,0.341,0,149.28,0.0
RELIANCE,6,-1.808,-0.301,0.609,0,1501.383,0.0
HINDALCO,9,-1.971,-0.219,0.438,0,687.906,0.0
UPL,9,-2.559,-0.284,0.887,0,680.989,0.0
TATASTEEL,6,-3.056,-0.509,0.73,0,163.457,0.0
SBILIFE,6,-3.088,-0.515,0.951,0,1840.233,0.0
